asin,brand_grouped_50,quarter,q_jt,price_mean,price_sd,n_hh,joint_pc1,joint_pc2,joint_pc3,joint_pc4,joint_pc5,text_only_embed
B0016GCZQO,APAGARD,2018Q2,1,15.9025820954573,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZQO,APAGARD,2018Q3,1,15.5627269578925,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZQO,APAGARD,2018Q4,1,14.7582414239201,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZQO,APAGARD,2019Q4,1,14.4236801995128,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZQO,APAGARD,2020Q3,1,15.8058420228601,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZQO,APAGARD,2022Q1,1,13.132517254072,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZQO,APAGARD,2022Q3,1,13.8123748219977,,1,-0.299284016910611,-0.549114450632185,-0.679643546014838,1.56491105157771,-1.00805988207758,0
B0016GCZSC,APAGARD,2018Q2,1,17.0223212279598,,1,-0.808802713242491,-0.225808188830863,-1.74479172987877,2.56751588201605,-0.202040118002903,0
B0016GCZSC,APAGARD,2018Q4,3,15.6155498118012,0.750977201680659,3,-0.808802713242491,-0.225808188830863,-1.74479172987877,2.56751588201605,-0.202040118002903,0
B0016GCZSC,APAGARD,2019Q1,2,15.9037535836902,0,2,-0.808802713242491,-0.225808188830863,-1.74479172987877,2.56751588201605,-0.202040118002903,0
B0016GCZSC,APAGARD,2019Q2,2,15.8373556452615,0.0096575006069686,2,-0.808802713242491,-0.225808188830863,-1.74479172987877,2.56751588201605,-0.202040118002903,0
B0016GCZSC,APAGARD,2019Q3,5,15.2520593684333,1.20195867016822,4,-0.808802713242491,-0.225808188830863,-1.74479172987877,2.56751588201605,-0.202040118002903,0
B0016GCZSC,APAGARD,2020Q1,3,16.183788742251,0.414885405075291,3,-0.808802713242491,-0.225808188830863,-1.74479172987877,2.56751588201605,-0.202040118002903,0
