asin,quarter,brand_grouped_50,nest_id,share,price_observed,mc,elas_own,price_nomerger,price_merger,merger_effect_pct,model_fit_pct
B0000535K8,2019Q1,Sensodyne,5,0.000999690096070218,5.66662973843486,2.41208487225034,-1.75519478412439,5.66662973843486,5.66662973843486,,
B0000535K8,2019Q2,Sensodyne,6,0.000778828330659356,6.62095038262158,3.36013270219772,-2.05124162505212,6.62095038262158,6.62095038262158,,
B0000535K8,2019Q3,Sensodyne,7,0.00130056769780009,6.26883903551287,3.01394351191386,-1.94113965552281,6.26883903551287,6.26883903551287,,
B0000535K8,2019Q4,Sensodyne,8,0.00145607035731967,6.01334692284387,2.75247342378166,-1.86173685452249,6.01334692284387,6.01334692284387,,
B0000535K8,2020Q2,Sensodyne,10,0.000378413765179122,5.82741890211961,2.55510083473635,-1.80612051010698,6.36271232242438,6.36273408459369,0.000342026610837223,9.18614555544259
B0000535K8,2020Q3,Sensodyne,11,0.00100468854655057,5.95300813849209,2.66273296366852,-1.84388905527826,6.20340623648681,6.2034115478669,8.5620381662261e-05,4.20633406757345
B0000535K8,2020Q4,Sensodyne,12,0.000376287845150026,5.65938437071439,2.37605389553659,-1.75404447433667,6.16832950888923,6.16833906882809,0.000154984244053697,8.99311064198756
B0000535K8,2021Q2,Sensodyne,14,0.000416020102091333,4.5710006929852,1.27722378291037,-1.41665935723408,6.16917564247979,6.1691778257177,3.53894594042112e-05,34.9633972969007
B0000535K8,2021Q3,Sensodyne,15,0.00122522993481777,4.97110718679403,1.68545902988206,-1.53941442178826,6.16371113671397,6.16371608438614,8.02709934901089e-05,23.9908103522758
B0000535K8,2021Q4,Sensodyne,16,0.000408409978272589,5.06924168287002,1.77674420188131,-1.57108778153155,6.16470587585454,6.16471040797974,7.35172981910121e-05,21.610110419701
B0000535K8,2022Q1,Sensodyne,17,0.000697700379549007,5.29793137754245,2.01308045262337,-1.641489374216,6.16126857428845,6.16127019573895,2.63168288456767e-05,16.2957720036944
B0000535K8,2022Q2,Sensodyne,18,0.000372106869092803,5.57941150175687,2.29673770496936,-1.72926527097621,6.16061888941974,6.16062011578968,1.99066027772992e-05,10.4170236206774
B0000535K8,2022Q3,Sensodyne,19,0.000769876280881662,5.45913653624466,2.18343581065159,-1.69131435460395,6.15593093134617,6.15593330992219,3.86387703610675e-05,12.7638641944803
B0006PKIQA,2018Q1,Other,1,0.00163363991309036,10.4697928895692,7.20722077361848,-3.24087954662354,10.4697928895692,10.4697928895692,,
B0006PKIQA,2018Q2,Other,2,0.00142509013695116,10.4425961227206,7.18483485884572,-3.23313613601385,10.4425961227206,10.4425961227206,,
B0006PKIQA,2018Q4,Other,4,0.00309134937400175,10.3399526743417,7.08788086081342,-3.19601475633365,10.3399526743417,10.3399526743417,,
B0006PKIQA,2019Q1,Other,5,0.000999690096070218,10.2762715463845,7.01514725642748,-3.18299572250538,10.2762715463845,10.2762715463845,,
B0006PKIQA,2019Q2,Other,6,0.000778828330659356,10.2377807728624,6.97952868566615,-3.17177457251063,10.2377807728624,10.2377807728624,,
B0006PKIQA,2020Q2,Other,10,0.000378413765179122,10.0593508260295,6.79580368021251,-3.11774391894927,10.3555048268588,10.355507884377,2.95255352496513e-05,2.94409712385424
B0006PKIQA,2020Q3,Other,11,0.000334896182183523,10.0765841675793,6.82628533642554,-3.1232210935506,10.3428158458278,10.3428171325695,1.2440922256778e-05,2.64209538234947
B0006PKIQA,2022Q3,Other,19,0.000384938140440831,8.81523070227818,5.55609438392976,-2.73212983720959,10.3482066285553,10.3482080773659,1.40005958343626e-05,17.3900993276502
B000FGDID0,2018Q2,JASON,2,0.00285018027390232,2.90479913791043,-0.334311977754896,-0.89807246758016,2.90479913791043,2.90479913791043,,
B000FGDID0,2020Q1,JASON,9,0.000374185678417344,3.30212135004822,0.0683881938490525,-1.02344698799554,2.90134024576575,2.90134182504467,5.44327375042568e-05,-12.1370320021008
B000FGDID0,2020Q3,JASON,11,0.00100468854655057,4.19223918551247,0.961566445925555,-1.29850720365941,2.8981893203698,2.89818973194928,1.4201262731119e-05,-30.8677390840476
B000FGDID0,2021Q1,JASON,13,0.000701353261117326,6.29369732882966,3.06163383425844,-1.95000629287007,2.90400037175257,2.90400150645434,3.90737473889954e-05,-53.8585770060482
B000FGDIRQ,2018Q1,JASON,1,0.00490091973927107,5.41556195749875,2.17441431327623,-1.6708778963378,5.41556195749875,5.41556195749875,,
B000FGDIRQ,2018Q2,JASON,2,0.00142509013695116,4.94708112565633,1.707970009991,-1.53166765880672,4.94708112565633,4.94708112565633,,
B000FGDIRQ,2018Q3,JASON,3,0.00499845048035109,3.47672037097358,0.235255027213968,-1.07257675226017,3.47672037097358,3.47672037097358,,
B000FGDIRQ,2018Q4,JASON,4,0.00206089958266784,3.11218172212008,-0.119741987860088,-0.962950243073398,3.11218172212008,3.11218172212008,,
B000FGDIRQ,2019Q1,JASON,5,0.00299907028821066,3.1099392446186,-0.125025682332278,-0.961351765736106,3.1099392446186,3.1099392446186,,
B000FGDIRQ,2019Q2,JASON,6,0.000778828330659356,3.84065735460015,0.612880430731737,-1.18987694787694,3.84065735460015,3.84065735460015,,
B000FGDIRQ,2019Q3,JASON,7,0.00130056769780009,3.79921657596527,0.567649228051271,-1.17642356323836,3.79921657596527,3.79921657596527,,
B000FGDIRQ,2019Q4,JASON,8,0.00145607035731967,4.82224033333037,1.59227423568539,-1.49296933390302,4.82224033333037,4.82224033333037,,
B000FGDIRQ,2020Q1,JASON,9,0.00149674271366938,4.54760549880671,1.31387234260754,-1.40788482906392,4.06636167054456,4.06636324982348,3.88376403290151e-05,-10.5823218199008
B000FGDIRQ,2020Q2,JASON,10,0.00151365506071649,4.30586376224803,1.07448673475454,-1.33302187039605,4.06209314387497,4.06209367378846,1.3045330738793e-05,-5.66135163394722
B000FGDIRQ,2020Q3,JASON,11,0.000334896182183523,4.80664523595715,1.57597249637023,-1.48981197799713,4.06321074423331,4.06321115581279,1.01294150300985e-05,-15.4667973950509
B000FGDIRQ,2020Q4,JASON,12,0.0015051513806001,4.27827745107168,1.04815258441406,-1.32449289971215,4.0611563201776,4.06115716891578,2.08989291920924e-05,-5.07494627543415
B000FGDIRQ,2021Q1,JASON,13,0.000701353261117326,4.70010078471995,1.46803729014873,-1.45625466692593,4.06902179020615,4.06902292490792,2.78863527278508e-05,-13.426900586125
B000FGDIRQ,2021Q2,JASON,14,0.000416020102091333,3.81747139240506,0.590866019953548,-1.18312311291561,4.0572266049628,4.05722665118665,1.13929672008648e-06,6.28047296591627
B000FGDIRQ,2021Q4,JASON,16,0.000816819956545178,4.43801077966925,1.2074701998822,-1.37489118538184,4.06301310133429,4.06301368394463,1.43393663684592e-05,-8.44966617572233
B000FGDIRQ,2022Q2,JASON,18,0.000744213738185607,4.30313190011851,1.07546678764449,-1.33320271780617,4.05857882972957,4.0585788927925,1.55381810479411e-06,-5.68313993162222
B000FGDIRQ,2022Q3,JASON,19,0.00115481442132249,4.14080829290506,0.910571487754171,-1.28238422007484,4.0616112378932,4.06161152946162,7.17863922301654e-06,-1.91259188644745
