asin,quarter,brand_grouped_50,nest_id,share,price_observed,mc,elas_own,price_nomerger,price_merger,merger_effect_pct,model_fit_pct
B0000535K8,2019Q1,Sensodyne,1,0.000999690096070218,5.66662973843486,2.41208487225034,-4.9259888524221,5.66662973843486,5.66662973843486,,
B0000535K8,2019Q2,Sensodyne,1,0.000778828330659356,6.62095038262158,3.36013270219772,-5.92142348475437,6.62095038262158,6.62095038262158,,
B0000535K8,2019Q3,Sensodyne,1,0.00130056769780009,6.26883903551287,3.01394351191386,-5.32362600072964,6.26883903551287,6.26883903551287,,
B0000535K8,2019Q4,Sensodyne,1,0.00145607035731967,6.01334692284387,3.12325742259196,-5.17396341963405,6.01334692284387,6.01334692284387,,
B0000535K8,2020Q2,Sensodyne,1,0.000378413765179122,5.82741890211961,2.86066521588559,-5.38277161026011,7.72935247626338,7.72936522158988,0.000164895138864824,32.6378856817462
B0000535K8,2020Q3,Sensodyne,1,0.00100468854655057,5.95300813849209,2.77252474360454,-5.40393665397618,6.50718511894159,6.50718838682026,5.02195435071012e-05,9.30924728197231
B0000535K8,2020Q4,Sensodyne,1,0.000376287845150026,5.65938437071439,2.63149145073023,-5.2439210796994,6.20551480202496,6.20551810290053,5.31926145187767e-05,9.65005549035009
B0000535K8,2021Q2,Sensodyne,1,0.000416020102091333,4.5710006929852,1.27722378291037,-4.23655532082226,6.28075816950094,6.28075903448605,1.37719854935351e-05,37.4044647187365
B0000535K8,2021Q3,Sensodyne,1,0.00122522993481777,4.97110718679403,1.68545902988206,-4.46010552103906,6.30212296861549,6.3021288136592,9.27472177573458e-05,26.7751544444885
B0000535K8,2021Q4,Sensodyne,1,0.000408409978272589,5.06924168287002,1.90532497713485,-4.6996049930167,6.2221757445451,6.22217902071431,5.26531127121269e-05,22.743783192273
B0000535K8,2022Q1,Sensodyne,1,0.000697700379549007,5.29793137754245,2.01308045262337,-4.84826602300191,6.2530716315732,6.25307273391666,1.76288314628382e-05,18.0285716878663
B0000535K8,2022Q2,Sensodyne,1,0.000372106869092803,5.57941150175687,2.29673770496936,-5.16677622036191,6.25409159512393,6.25409205329783,7.32598632909778e-06,12.0923246354658
B0000535K8,2022Q3,Sensodyne,1,0.000769876280881662,5.45913653624466,2.18343581065158,-4.95601439611016,6.25754090875188,6.25754232532837,2.26379100440692e-05,14.6251295197121
B0006PKIQA,2018Q1,Other,5,0.00163363991309036,10.4697928895692,8.60208530605902,-9.2324563204535,10.4697928895692,10.4697928895692,,
B0006PKIQA,2018Q2,Other,5,0.00142509013695116,10.4425961227206,8.83444063513881,-9.25894904903353,10.4425961227206,10.4425961227206,,
