model,variable,beta,se,t_stat,signif
CLIP-Nested,prices_alpha,-0.310052230678198,,,calibrated
CLIP-Nested,pkg_size,0.00344695286013362,0.000251333886848078,13.7146363483296,***
CLIP-Nested,joint_pc1,-0.328021092260065,0.0406682562610421,-8.06577715441149,***
CLIP-Nested,joint_pc2,0.210285797825337,0.0358522121755569,5.86535070125196,***
CLIP-Nested,joint_pc3,-0.285406351507746,0.0370373817118674,-7.70589977790726,***
CLIP-Nested,joint_pc4,0.270744592710949,0.038241617457972,7.07984156288633,***
CLIP-Nested,joint_pc5,-0.174484093610658,0.037390720464343,-4.66650793148134,***
CLIP-Nested,is_other,0.264124623031149,0.127222554452902,2.07608331845694,**
CLIP-Nested,import_freight_shock,0.746069838606723,0.224496171217135,3.32330762953243,***
CLIP-Nested,rho,0.67,,,profiled
