rep,rhoA,dropA,negA,helloA,colgA,sameA,rhoB,dropB,negB,helloB,colgB
104,0.47,3.8,1.5,5.06,0.549,0,0.58,7,0.6,5.623,0.561
105,0.49,4.7,1.3,6.428,0.462,1,0.41,3.7,1.6,4.858,0.44
106,0.39,2.9,1.7,6.191,0.46,0,0.4,3.9,1.6,7.063,0.612
107,0.46,4.4,1.3,4.409,0.405,0,0.3,2,2.2,4.765,0.301
108,0.57,5.9,0.5,4.337,0.305,0,0.38,3.5,1.7,4.995,0.293
109,0.49,4.6,1.5,4.22,0.348,0,0.57,6.9,0.7,7.525,0.383
110,0.58,6,0.4,8.671,0.798,1,0.24,1.4,2.7,3.258,0.309
111,0.48,4.5,1.2,5.883,0.417,1,0.47,5,1.5,7.632,0.554
112,0.39,3,1.7,6.16,0.421,0,0.34,2.9,1.9,4.664,0.268
113,0.49,4.6,1.2,5.842,0.365,1,0.56,7.7,0.7,6.383,0.484
114,0.47,4.4,1.3,5.01,0.341,0,0.32,2.8,2,4.157,0.442
115,0.55,5.4,0.7,6.184,0.416,0,0.32,2.5,2.1,4.34,0.348
116,0.59,6,0.7,3.386,0.201,0,0.46,5.3,1.5,3.623,0.272
117,0.56,5.7,0.6,5.357,0.321,0,0.44,4.4,1.5,5.968,0.376
118,0.63,7.3,0.4,7.996,0.537,0,0.14,0.5,6.3,3.199,0.276
119,0.34,2.5,1.8,4.713,0.395,0,0.44,5.3,1.7,5.106,0.285
120,0.49,4.4,1.1,6.096,0.493,0,0.31,2.6,2.4,4.937,0.393
121,0.55,5.5,0.9,4.569,0.342,0,0.48,4.5,1.3,4.811,0.407
122,0.42,3.3,1.7,5.026,0.387,0,0.37,3.6,1.8,5.688,0.454
123,0.63,7.1,0.2,3.181,0.27,0,0.57,8.2,0.8,4.92,0.287
124,0.63,7,0.3,3.836,0.28,1,0.49,6,1.2,4.56,0.402
125,0.59,6.2,0.4,8.127,0.62,0,0.53,5.5,0.9,8.195,0.375
126,0.65,7.6,0.5,8.335,0.462,0,0.46,4.6,1.7,5.892,0.507
127,0.5,4.9,1.3,5.486,0.392,0,0.4,4,1.7,4.592,0.386
128,0.51,4.7,1,5.386,0.426,0,0.37,3,1.9,5.483,0.407
129,0.52,5,1,4.493,0.358,0,0.23,1.3,3,4.291,0.345
130,0.66,7.9,0,6.236,0.331,0,0.4,3.7,1.8,4.583,0.345
131,0.57,5.6,0.8,4.05,0.352,0,0.35,3.2,1.8,6.036,0.549
132,0.33,2.2,1.9,5.329,0.447,0,0.29,2,2.4,4.091,0.394
133,0.72,10.4,0.1,3.775,0.346,0,0.38,3.5,1.7,5.525,0.498
134,0.53,5.2,1,6.36,0.342,0,0.22,1.2,3.2,3.98,0.477
135,0.6,6.5,0.6,4.755,0.411,0,0.4,3.6,1.6,5.158,0.514
136,0.58,5.9,0.8,5.309,0.253,1,0.4,3.9,1.5,5.335,0.374
137,0.57,6.3,0.7,5.215,0.477,1,0.49,5.8,1.3,5.533,0.446
138,0.51,5.4,1,6.576,0.428,0,0.31,2.3,2,4.937,0.481
139,0.35,2.5,1.9,5.633,0.393,0,0.32,2.5,2,4.522,0.298
140,0.62,7.1,0.3,3.8,0.221,0,0.67,10.1,0.2,10.504,0.51
141,0.45,3.8,1.5,5.795,0.429,0,0.33,2.8,2,4.301,0.456
142,0.54,5.4,0.9,7.169,0.414,1,0.41,4,1.7,5.954,0.474
143,0.63,7.6,0.4,2.631,0.288,1,0.52,6.8,1.3,6.236,0.389
144,0.49,4.4,1.3,6.698,0.64,0,0.34,2.9,1.9,4.818,0.37
145,0.55,6.4,0.9,7.132,0.603,0,0.46,5.5,1.3,4.064,0.379
146,0.67,8.1,0.3,6.202,0.22,0,0.44,4.2,1.6,6.027,0.455
147,0.64,7,0.2,9.762,0.35,0,0.46,4.7,1.5,6.922,0.452
