K,wcss,sil,rho_star,rss_drop,neg_mc,hello_eff,colgate_eff
2,1042.01248905118,0.199167406881671,0.6,6.07385968734181,0.515463917525773,1.70917900263248,0.0149942670281297
3,836.705221196169,0.256170754245785,0.66,7.79220998241562,0.859106529209622,3.4892399830162,0.0134079068331373
4,641.19487835534,0.330334648324098,0.57,5.69212427746592,3.00687285223368,3.95516620277085,0.0405036380256382
5,456.475076882193,0.38793990862361,0.67,8.10811930400433,1.71821305841924,0.403607904987954,0.0184744687620621
6,365.647441066629,0.386850018043901,0.6,6.65811760837965,3.35051546391753,0.591196446255551,0.0442973530559121
7,321.965042476882,0.367847150024069,0.48,4.55368181511841,4.38144329896907,0.693480994947634,0.0549898109866335
8,279.325970910193,0.399516327832527,0.37,2.90775354021393,4.72508591065292,0.816660057697293,0.0667634936593424
9,247.721810761925,0.402785261336459,0.35,2.42778486315125,4.72508591065292,1.26047268573656,0.176732919076464
10,230.742645478813,0.373463321969061,0.4,3.81492782432547,4.63917525773196,0.785538259592231,0.0653748792786018
